food_id,food_name,restaurant_id,description,category,veg_nonveg,ingredients,dish_type,popular_in,price_level
f001,Veg Fried Rice,r001,Stir-fried long grain rice with mixed vegetables and mild seasoning.,Fried Rice,Veg,"[""rice"",""carrot"",""beans"",""peas"",""spring onion"",""soy sauce"",""oil"",""salt""]",main_course,South India,Moderate
f002,Egg Fried Rice,r001,Fried rice cooked with scrambled egg and spices.,Fried Rice,Egg,"[""rice"",""egg"",""spring onion"",""soy sauce"",""pepper"",""oil"",""salt""]",main_course,South India,Low
f003,Chicken Fried Rice,r001,Fried rice with shredded chicken and mild Indo-Chinese seasoning.,Fried Rice,Non-Veg,"[""rice"",""chicken"",""soy sauce"",""spring onion"",""pepper"",""oil"",""salt""]",main_course,South India,Moderate
f004,Mushroom Fried Rice,r001,Veg fried rice variation with sautéed mushrooms.,Fried Rice,Veg,"[""rice"",""mushroom"",""spring onion"",""soy sauce"",""pepper"",""oil"",""salt""]",main_course,South India,Low
f005,Paneer Rice,r001,Rice tossed with soft paneer cubes and mild masala.,Fried Rice,Veg,"[""rice"",""paneer"",""onion"",""garam masala"",""oil"",""salt""]",main_course,India,Low
f006,Jeera Rice,r001,Fragrant rice tempered with cumin seeds and ghee.,Rice,Veg,"[""rice"",""cumin"",""ghee"",""salt""]",side_dish,North India,Low
f007,Garlic Rice,r001,Rice flavored with roasted garlic and herbs.,Rice,Veg,"[""rice"",""garlic"",""butter"",""pepper"",""salt""]",side_dish,India,Low
f008,Ghee Rice,r001,Simple flavored rice cooked with ghee and whole spices.,Rice,Veg,"[""rice"",""ghee"",""cloves"",""cinnamon"",""bay leaf"",""salt""]",main_course,South India,Low
f009,Schezwan Veg Fried Rice,r001,Spicy Indo-Chinese fried rice with Schezwan sauce.,Fried Rice,Veg,"[""rice"",""capsicum"",""carrot"",""spring onion"",""schezwan sauce"",""soy sauce"",""oil""]",main_course,India,Low
f010,Schezwan Egg Fried Rice,r001,Schezwan fried rice with scrambled egg.,Fried Rice,Egg,"[""rice"",""egg"",""schezwan sauce"",""spring onion"",""soy sauce"",""oil""]",main_course,India,Low
