restaurant_id,restaurant_name,address,latitude,longitude,cuisine_types,avg_rating,opening_hours,contact_number,delivery_available,dine_in_available,features,restaurant_type,price_level
r001,The Garden,"No. 1/216L, Opp. Kannan Department Store, Avinashi Road, Neelambur, Coimbatore 641062.",11.0608796,77.0877611,"Snacks,Chinese,South Indian",3.76,6:00-21:30,+91 422 264268,FALSE,TRUE,Family Friendly;AC;Buffet,Bakery,Low
r002,Magizh Unavagam,"3WXR+R9P, Daniel Nagar, Thoppampatti Pirivu, K. Vadamadurai, Coimbatore, Tamil Nadu 641017",11.0966653,76.9340445,"North Indian,Biriyani,South Indian",4.63,7:00-23:00,+91 422 297939,FALSE,TRUE,Outdoor Seating;AC;Play Area;Parking,Fine Dining,Moderate
r003,Annapoorna,"Peelamedu, Civil Aerodrome Post, Coimbatore, Tamil Nadu 641062",11.0306044,77.0366592,"South Indian,Tandoor,Biriyani",4.3,6:00-21:30,+91 422 228141,FALSE,FALSE,AC;Live Music;Outdoor Seating,Fine Dining,Moderate
r004,Haribhavanam,"11/5, Avinashi Rd, Peelamedu, Goldwins, Civil Aerodrome Post, Coimbatore, Tamil Nadu 641014",11.0437144,77.0449256,"Chinese,Tandoor",4.1,11:00-23:30,+91 422 290356,TRUE,TRUE,Play Area;Family Friendly;Buffet,Cafe,High
r005,A2A Restaurant,"83, 3rd St, Kamaraj Nagar, Avarampalayam, Illango Nagar, Coimbatore, Tamil Nadu 641006",11.0260046,76.9797275,Snacks,3.43,7:00-23:00,+91 422 281910,FALSE,FALSE,Pet Friendly;AC,Cafe,Low
r006,Adyar Ananda Bhavan - A2B,"SF No. 403, Avinashi - Coimbatore Rd, Amman Nagar, Arasur, Coimbatore, Tamil Nadu 641407",11.3265364,76.7438089,"South Indian,Snacks",3.43,11:00-23:30,+91 422 266044,TRUE,FALSE,Wifi;Buffet;AC;Live Music,Bakery,High
r007,Restaurant Aaha,"81, VCV Rd, VCV Layout, Sukrawar Pettai, R.S. Puram, Coimbatore, Tamil Nadu 641002",11.0080395,76.9551629,Snacks,3.29,6:00-21:30,+91 422 277214,TRUE,TRUE,Live Music;Family Friendly;Play Area;Parking,Quick Service,Low
r008,Ilavenil Restaurant,"SC A1A2, 117/3, Karayamapalayam Rd, Mylampatti, Chinniyampalayam, Mylampatti, Coimbatore, Tamil Nadu 641048",11.0591227,77.0635645,"Arabian,Tandoor,Biriyani",4.5,12:00-00:00,+91 422 243827,TRUE,TRUE,Play Area;Outdoor Seating,Bakery,Moderate
r009,ARS RESTAURANT,"22VX+W5M, Goldwins, Karuparampalayam Pirvu, Coimbatore, Tamil Nadu 641014",11.0448379,77.0453321,"Biriyani,North Indian",4.1,7:00-23:00,+91 422 265820,TRUE,FALSE,AC;Play Area;Family Friendly,Fine Dining,Moderate
r010,TIK TOK Briyani,"near Kathir College Road, NPS Nagar, Neelambur, Coimbatore, Tamil Nadu 641062",11.0705319,77.0896701,"Chinese,Biriyani,South Indian",4.26,6:00-21:30,+91 422 272623,FALSE,FALSE,AC;Live Music;Family Friendly,Bakery,Moderate
r011,Hotel Saraswathi's Kitchen,"S.F No. 716/3, Thottipalayam Pirivu, near Viscose Park, Mahalakshmi Garden, Rangasamy Gounden Pudur, Coimbatore, Tamil Nadu 641048",11.0534893,77.0459749,"Tandoor,South Indian",3.23,12:00-00:00,+91 422 291734,TRUE,TRUE,Outdoor Seating;Buffet,Quick Service,Moderate
r012,MappillaisMansattiVaruval,"MappillasMansattiVaruval, Cexus Nagar, Coimbatore, Neelambur, Tamil Nadu 641062",11.0602631,77.0734669,"South Indian,Tandoor,Arabian",4.65,12:00-00:00,+91 422 285450,TRUE,FALSE,Wifi;Outdoor Seating;Buffet,Cafe,High
