food_id,food_name,restaurant_id,description,category,veg_nonveg,ingredients,dish_type,popular_in,price_level,food_rating
F1001,Mutton Korma,17,Rich mutton gravy served at Hotel Annapoorna Hub. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,Saibaba Colony,₹₹₹,4.38
F1002,Fish Curry,46,Spicy fish curry served at Hotel Sri Krishna Bhurma. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Saibaba Colony,₹₹,3.45
F1003,Fish Curry,2,Spicy fish curry served at Hotel Spice Hub. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Singanallur,₹₹,4.41
F1004,Chicken Biryani,46,Fragrant spiced rice with chicken served at Hotel Sri Krishna Bhurma. Delicious and popular.,Main Course,Non-Veg,"chicken,rice,spices",Biriyani,Peelamedu,₹₹₹,3.52
F1005,Parotta,48,Layered flatbread served at Hotel Flavours Palace. Delicious and popular.,Main Course,Veg,"maida,oil,salt",South Indian,Singanallur,₹,3.85
F1006,Vada,43,Crispy fried savory donut served at Hotel Royal Corner. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Saibaba Colony,₹,4.2
F1007,Fish Curry,9,Spicy fish curry served at Hotel Flavours Hub. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,RS Puram,₹₹,3.46
F1008,Fish Curry,22,Spicy fish curry served at Hotel Sri Krishna Bhurma. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Saibaba Colony,₹₹,4.12
F1009,Pongal,3,Savory rice porridge served at Hotel Grand Point. Delicious and popular.,Breakfast,Veg,"rice,moong dal,pepper",South Indian,Race Course,₹,3.54
F1010,Vada,26,Crispy fried savory donut served at Hotel Grand Garden. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Gandhipuram,₹,4.27
F1011,Fish Curry,11,Spicy fish curry served at Hotel Grand Garden. Delicious and popular.,Main Course,Non-Veg,"fish,tamarind,spices",South Indian,Ukkadam,₹₹,3.63
F1012,Vada,35,Crispy fried savory donut served at Hotel Grand Stage. Delicious and popular.,Snack,Veg,"urad dal,oil,spices",South Indian,Singanallur,₹,3.24
F1013,Mutton Korma,1,Rich mutton gravy served at Hotel Darshini Palace. Delicious and popular.,Main Course,Non-Veg,"mutton,cashew,onion,spices",North Indian,Race Course,₹₹₹,3.32
F1014,Falooda,49,Layered sweet dessert drink served at Hotel Spice Corner. Delicious and popular.,Desserts,Veg,"milk,noodles,sabja,rose,syrup,icecream",Desserts,RS Puram,₹₹,3.32
