restaurant_id,restaurant_name,address,latitude,longitude,cuisine_types,avg_rating,num_reviews,opening_hours,contact_number,delivery_available,dine_in_available,features,restaurant_type,area,price_level,image_url
1,Hotel Darshini Palace,"18, Race Course, Coimbatore",10.957529,77.004885,South Indian,3.74,639,6:00-21:30,+91 422 2217756,False,False,Wifi;AC;Parking;Buffet,Fine Dining,RS Puram,₹₹₹,https://img.restaurant/1.jpg
2,Hotel Spice Hub,"16, Saibaba Colony, Coimbatore",11.023457,76.967494,"Snacks,Tandoor,North Indian",3.66,666,11:00-23:30,+91 422 2712210,True,True,Pet Friendly;Outdoor Seating;Play Area,Cafe,Peelamedu,₹₹₹,https://img.restaurant/2.jpg
3,Hotel Grand Point,"81, Gandhipuram, Coimbatore",10.986014,76.906506,Desserts,4.66,571,8:00-22:00,+91 422 2770833,False,False,AC;Play Area,Bakery,Gandhipuram,₹₹,https://img.restaurant/3.jpg
4,Hotel Flavours Court,"84, RS Puram, Coimbatore",11.050719,76.96083,"Arabian,South Indian",4.5,822,12:00-00:00,+91 422 2721829,True,False,AC;Buffet;Outdoor Seating,Cafe,Ukkadam,₹₹₹,https://img.restaurant/4.jpg
5,Hotel Zaiqa Garden,"73, Saibaba Colony, Coimbatore",11.020157,76.924885,"South Indian,Chinese,Snacks",3.72,223,12:00-00:00,+91 422 2493032,True,False,Wifi;Live Music;Outdoor Seating;AC,Cafe,Peelamedu,₹,https://img.restaurant/5.jpg
6,Hotel Flavours Hub,"66, RS Puram, Coimbatore",10.954381,76.921638,Desserts,4.01,859,7:00-23:00,+91 422 2979345,False,True,Parking;Pet Friendly;Play Area;Buffet;Outdoor Seating,Quick Service,Saibaba Colony,₹,https://img.restaurant/6.jpg
7,Hotel Darshini Hub,"96, Gandhipuram, Coimbatore",10.957024,77.000198,"Arabian,South Indian",3.22,1081,12:00-00:00,+91 422 2738576,False,False,Wifi;Buffet;Play Area,Bakery,Saibaba Colony,₹₹,https://img.restaurant/7.jpg
8,Hotel Sri Krishna Corner,"72, Ukkadam, Coimbatore",11.041821,76.916106,"Biriyani,North Indian",3.65,611,11:00-23:30,+91 422 2105281,False,True,Buffet;Parking;Live Music;Play Area,Quick Service,Peelamedu,₹₹₹,https://img.restaurant/8.jpg
9,Hotel Flavours Hub,"22, Saibaba Colony, Coimbatore",11.027419,76.914538,"North Indian,Snacks,Tandoor",3.42,898,7:00-23:00,+91 422 2143921,True,True,Pet Friendly;Family Friendly;Outdoor Seating;Wifi;Buffet,Quick Service,Saibaba Colony,₹,https://img.restaurant/9.jpg
10,Hotel Flavours Stage,"15, RS Puram, Coimbatore",11.011199,76.990726,"Desserts,Chinese,Biriyani",4.17,1088,8:00-22:00,+91 422 2371230,True,True,Play Area;Outdoor Seating;AC,Casual Dining,Ukkadam,₹₹,https://img.restaurant/10.jpg
11,Hotel Grand Garden,"22, Peelamedu, Coimbatore",10.991312,76.921235,"Snacks,North Indian,Chinese",4.11,44,6:00-21:30,+91 422 2260825,True,True,Outdoor Seating;Wifi;Family Friendly;Pet Friendly,Bakery,Singanallur,₹₹,https://img.restaurant/11.jpg
12,Hotel Grand Cafe,"24, Ukkadam, Coimbatore",10.965762,76.933006,"Desserts,North Indian,Snacks",3.39,808,6:00-21:30,+91 422 2505653,True,True,Play Area;Parking;Buffet;Wifi,Quick Service,RS Puram,₹₹₹,https://img.restaurant/12.jpg
13,Hotel Flavours Bhurma,"96, Gandhipuram, Coimbatore",11.044523,76.952313,"Desserts,Biriyani",3.72,252,6:00-21:30,+91 422 2099080,True,True,Play Area;Outdoor Seating,Buffet,Gandhipuram,₹₹,https://img.restaurant/13.jpg
14,Hotel Grand Garden,"15, RS Puram, Coimbatore",11.037375,76.919206,"South Indian,Snacks,North Indian",4.21,309,7:00-23:00,+91 422 2452742,False,True,Parking;Wifi;AC;Live Music;Outdoor Seating,Fine Dining,Race Course,₹₹,https://img.restaurant/14.jpg
15,Hotel Darshini Palace,"24, Ukkadam, Coimbatore",11.054604,76.911305,"Tandoor,Chinese",4.08,462,12:00-00:00,+91 422 2168362,False,False,AC;Play Area;Parking;Live Music;Pet Friendly,Cafe,Gandhipuram,₹,https://img.restaurant/15.jpg
16,Hotel Aroma Hub,"12, Ukkadam, Coimbatore",11.058856,76.907389,South Indian,4.67,524,6:00-21:30,+91 422 2819939,True,True,Pet Friendly;Live Music;Outdoor Seating;Wifi;AC,Quick Service,Peelamedu,₹₹₹,https://img.restaurant/16.jpg
17,Hotel Annapoorna Hub,"70, RS Puram, Coimbatore",10.999463,76.990281,"Biriyani,Snacks,Arabian",3.66,753,11:00-23:30,+91 422 2271196,False,False,Family Friendly;Play Area;Parking;Buffet,Cafe,Saibaba Colony,₹₹₹,https://img.restaurant/17.jpg
18,Hotel Annapoorna Corner,"15, Ukkadam, Coimbatore",10.97408,76.977418,"Arabian,North Indian,South Indian",3.77,66,11:00-23:30,+91 422 2328149,True,False,Play Area;Pet Friendly,Fine Dining,Saibaba Colony,₹₹,https://img.restaurant/18.jpg
19,Hotel Royal Garden,"73, Race Course, Coimbatore",10.959092,76.924799,Arabian,4.54,1029,7:00-23:00,+91 422 2866404,False,True,Wifi;Live Music;Buffet;Outdoor Seating;Play Area,Quick Service,Gandhipuram,₹₹,https://img.restaurant/19.jpg
20,Hotel Spice Bhurma,"10, Saibaba Colony, Coimbatore",10.981829,76.892876,"Chinese,South Indian,Arabian",4.85,318,7:00-23:00,+91 422 2422582,False,False,AC;Buffet;Pet Friendly;Family Friendly,Cafe,Singanallur,₹₹₹,https://img.restaurant/20.jpg
